yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx
192802,17.26,0.7833,1.1550,0.3860765992,0.0333,0.0446,0.0533,0.0318,0.0551718155,0.0027750000,-0.0115606936,0.0061,0.0068,0.0006911239,,-0.012549,-0.016679
192803,19.13,0.7900,1.1770,0.3632548380,0.0327,0.0446,0.0532,0.0317,0.0543637737,0.0027250000,0.0000000000,0.0045,0.0041,0.0013810077,,0.105752,0.101652
192804,19.75,0.7967,1.2000,0.3680952606,0.0362,0.0446,0.0533,0.0319,0.0493723839,0.0030166667,0.0000000000,-0.0004,0.0014,0.0014879603,,0.034725,0.032715
192805,20.00,0.8033,1.2220,0.3543969792,0.0390,0.0449,0.0542,0.0327,0.0471871710,0.0032500000,0.0058479532,-0.0077,-0.0078,0.0018988588,,0.012325,0.007422
192806,19.19,0.8100,1.2450,0.3702999477,0.0392,0.0457,0.0555,0.0326,0.0502980656,0.0032666667,-0.0058139535,0.0041,-0.0024,0.0036454766,,-0.034330,-0.038725
192807,19.43,0.8167,1.2680,0.3606481481,0.0412,0.0461,0.0558,0.0344,0.0593798490,0.0034333333,0.0000000000,-0.0217,-0.0010,0.0016749799,,0.010117,0.008278
192808,20.87,0.8233,1.2900,0.3240297825,0.0436,0.0464,0.0561,0.0341,0.0573983663,0.0036333333,0.0000000000,0.0076,0.0083,0.0012293169,,0.070230,0.065514
192809,21.37,0.8300,1.3120,0.3281658101,0.0457,0.0461,0.0559,0.0346,0.0279789356,0.0038083333,0.0116959064,-0.0041,0.0030,0.0006504642,,0.022409,0.019937
192810,21.68,0.8367,1.3350,0.3089308376,0.0470,0.0461,0.0558,0.0336,0.0340183034,0.0039166667,-0.0057803468,0.0158,0.0083,0.0006788455,,0.013839,0.012055
192811,24.28,0.8433,1.3570,0.2655259391,0.0426,0.0458,0.0555,0.0338,0.0383716437,0.0035500000,0.0000000000,0.0003,-0.0036,0.0015232957,,0.122975,0.116704
192812,24.35,0.8500,1.3800,0.2596666667,0.0426,0.0461,0.0560,0.0340,0.0630682358,0.0035500000,-0.0058139535,0.0004,0.0084,0.0040774700,,0.006232,0.002888
192901,25.74,0.8600,1.3990,0.2453466033,0.0466,0.0462,0.0563,0.0349,0.0784479072,0.0038833333,0.0000000000,-0.0090,0.0043,0.0017008226,,0.055473,0.053892
192902,25.59,0.8700,1.4180,0.2454238997,0.0439,0.0466,0.0566,0.0363,0.0717819687,0.0036583333,0.0000000000,-0.0157,0.0030,0.0026701165,,-0.004874,-0.008075
192903,25.53,0.8800,1.4380,0.2723004695,0.0460,0.0470,0.0579,0.0377,0.0798029835,0.0038333333,-0.0058479532,-0.0144,-0.0087,0.0036114071,,0.000154,-0.003213
192904,25.94,0.8900,1.4570,0.2633969119,0.0480,0.0469,0.0580,0.0358,0.0993203573,0.0040000000,-0.0058823529,0.0275,0.0019,0.0023043615,,0.019559,0.018234
192905,24.83,0.9000,1.4760,0.2827746209,0.0509,0.0470,0.0580,0.0373,0.1179848726,0.0042416667,0.0059171598,-0.0162,0.0045,0.0047598084,,-0.041281,-0.046101
192906,27.62,0.9100,1.4950,0.2535805819,0.0480,0.0477,0.0594,0.0367,0.1161957950,0.0040000000,0.0058823529,0.0110,-0.0046,0.0013403801,,0.112294,0.109584
192907,28.88,0.9200,1.5140,0.2418751798,0.0455,0.0477,0.0595,0.0369,0.1106867615,0.0037916667,0.0116959064,0.0000,0.0020,0.0012818127,,0.050014,0.048186
192908,31.71,0.9300,1.5330,0.2211237609,0.0470,0.0479,0.0604,0.0375,0.1152767532,0.0039166667,0.0000000000,-0.0034,0.0020,0.0033821020,,0.094871,0.090733
192909,30.16,0.9400,1.5520,0.2448682487,0.0458,0.0480,0.0612,0.0375,0.1213898234,0.0038166667,0.0000000000,0.0027,0.0034,0.0033922824,,-0.050941,-0.053046
192910,24.15,0.9500,1.5720,0.3074841870,0.0437,0.0477,0.0611,0.0347,0.1596118900,0.0036416667,0.0000000000,0.0382,0.0073,0.0535075427,,-0.186150,-0.188115
192911,20.92,0.9600,1.5910,0.3519564763,0.0347,0.0476,0.0603,0.0331,0.1770400278,0.0028916667,0.0000000000,0.0236,-0.0018,0.0364487459,,-0.125359,-0.130374
192912,21.45,0.9700,1.6100,0.3384578236,0.0303,0.0467,0.0595,0.0340,0.1635224588,0.0025250000,-0.0057803468,-0.0089,0.0192,0.0102146296,,0.027753,0.023571
193001,22.79,0.9708,1.5570,0.3148162012,0.0339,0.0466,0.0592,0.0347,0.1533145437,0.0028250000,-0.0058139535,-0.0057,0.0059,0.0014331608,,0.059632,0.057032
193002,23.28,0.9717,1.5030,0.3102061894,0.0336,0.0469,0.0589,0.0339,0.1592561152,0.0028000000,-0.0058479532,0.0129,0.0072,0.0017247059,,0.026041,0.021516
193003,25.14,0.9725,1.4500,0.3191191891,0.0295,0.0462,0.0573,0.0335,0.1454968244,0.0024583333,-0.0058823529,0.0083,0.0138,0.0015040436,,0.072348,0.069351
193004,24.90,0.9733,1.3970,0.3269705977,0.0300,0.0460,0.0570,0.0338,0.1296823702,0.0025000000,0.0059171598,-0.0016,0.0084,0.0019338617,,-0.013938,-0.015867
193005,24.49,0.9742,1.3430,0.3319155124,0.0241,0.0460,0.0572,0.0329,0.1249275404,0.0020083333,-0.0058823529,0.0139,0.0057,0.0046934394,,-0.011148,-0.015304
193006,20.46,0.9750,1.2900,0.4033754529,0.0189,0.0457,0.0578,0.0328,0.1310024883,0.0015750000,-0.0059171598,0.0051,0.0110,0.0144478616,,-0.155715,-0.159182
193007,21.21,0.9758,1.2370,0.3901876149,0.0183,0.0452,0.0577,0.0327,0.1405519643,0.0015250000,-0.0119047619,0.0034,0.0056,0.0049204458,,0.038713,0.036395
193008,21.37,0.9767,1.1830,0.3797521005,0.0153,0.0447,0.0573,0.0328,0.1214957139,0.0012750000,-0.0060240964,0.0013,0.0136,0.0040499265,,0.011266,0.006691
193009,18.59,0.9775,1.1300,0.4455832113,0.0177,0.0442,0.0565,0.0324,0.1272017710,0.0014750000,0.0060606061,0.0074,0.0108,0.0037384063,,-0.123549,-0.127635
193010,16.94,0.9783,1.0770,0.4979547314,0.0174,0.0442,0.0594,0.0324,0.1294920881,0.0014500000,-0.0060240964,0.0035,0.0054,0.0128766664,,-0.083680,-0.086394
193011,16.57,0.9792,1.0230,0.5046708308,0.0140,0.0447,0.0625,0.0322,0.1377528626,0.0011666667,-0.0060606061,0.0042,-0.0012,0.0071600721,,-0.019736,-0.024113
193012,15.34,0.9800,0.9700,0.5547454126,0.0148,0.0452,0.0671,0.0330,0.1138859634,0.0012333333,-0.0182926829,-0.0070,-0.0090,0.0081663293,,-0.071479,-0.077707
193101,16.09,0.9667,0.9400,0.5391520019,0.0124,0.0442,0.0641,0.0343,0.0897108207,0.0010333333,-0.0124223602,-0.0121,0.0203,0.0052243116,,0.059527,0.056729
193102,17.93,0.9533,0.9100,0.4796679626,0.0106,0.0443,0.0638,0.0338,0.0825339707,0.0008833333,-0.0125786164,0.0085,0.0068,0.0028846263,,0.110943,0.105279
193103,16.69,0.9400,0.8800,0.5291250870,0.0138,0.0439,0.0644,0.0332,0.0739693618,0.0011500000,-0.0063694268,0.0104,0.0094,0.0041687518,,-0.068939,-0.073451
193104,15.09,0.9267,0.8500,0.6032144983,0.0149,0.0440,0.0672,0.0327,0.0777678671,0.0012416667,-0.0064102564,0.0086,0.0067,0.0067092657,,-0.092955,-0.095460
193105,13.02,0.9133,0.8200,0.7099486221,0.0088,0.0437,0.0715,0.0317,0.0713666029,0.0007333333,-0.0129032258,0.0145,0.0134,0.0069106954,,-0.137674,-0.143020
193106,14.83,0.9000,0.7900,0.6072712745,0.0055,0.0436,0.0736,0.0319,0.0637445720,0.0004583333,-0.0130718954,0.0004,0.0052,0.0233329496,,0.146492,0.139763
193107,13.73,0.8867,0.7600,0.6736095723,0.0041,0.0436,0.0708,0.0325,0.0339920313,0.0003416667,0.0000000000,-0.0042,0.0052,0.0070392564,,-0.075465,-0.078570
193108,13.86,0.8733,0.7300,0.6541854960,0.0042,0.0440,0.0747,0.0326,0.0201425865,0.0003500000,0.0000000000,0.0012,0.0012,0.0045420398,,0.007779,0.002304
193109,9.71,0.8600,0.7000,0.9440016561,0.0045,0.0455,0.0807,0.0353,0.0303485556,0.0003750000,-0.0066225166,-0.0281,-0.0014,0.0234589946,,-0.287461,-0.291524
193110,10.53,0.8467,0.6700,0.8771761085,0.0170,0.0499,0.0904,0.0385,0.0112503966,0.0014166667,-0.0066666667,-0.0330,-0.0363,0.0425019555,,0.076738,0.072834
193111,9.50,0.8333,0.6400,0.9715564078,0.0177,0.0494,0.0893,0.0385,0.0033761447,0.0014750000,-0.0134228188,0.0027,-0.0189,0.0114345440,,-0.100909,-0.109396
193112,8.12,0.8200,0.6100,1.1707317073,0.0241,0.0532,0.1042,0.0407,-0.0129465960,0.0020083333,-0.0068027211,-0.0220,-0.0286,0.0211953493,,-0.137557,-0.145471
193201,7.89,0.7933,0.5933,1.1913781842,0.0248,0.0520,0.0913,0.0390,-0.0115796886,0.0020666667,-0.0205479452,0.0034,-0.0052,0.0173767845,,-0.018803,-0.021067
193202,8.29,0.7667,0.5767,1.1198428291,0.0242,0.0523,0.0887,0.0367,-0.0157307438,0.0020166667,-0.0139860140,0.0413,-0.0238,0.0267152506,,0.053581,0.045233
193203,7.31,0.7400,0.5600,1.1858624454,0.0225,0.0498,0.0883,0.0370,-0.0084178200,0.0018750000,-0.0070921986,-0.0018,0.0356,0.0134089221,,-0.118907,-0.125245
193204,5.83,0.7133,0.5433,1.5537278741,0.0111,0.0517,0.1046,0.0336,-0.0154761440,0.0009250000,-0.0071428571,0.0604,-0.0176,0.0198514127,,-0.205295,-0.207637
193205,4.47,0.6867,0.5267,1.9423334823,0.0031,0.0536,0.1100,0.0349,-0.0340509739,0.0002583333,-0.0143884892,-0.0188,0.0107,0.0231837923,,-0.232123,-0.240123
193206,4.43,0.6600,0.5100,2.0284780579,0.0034,0.0541,0.1100,0.0347,-0.0406872608,0.0002833333,-0.0072992701,0.0065,-0.0009,0.0343025832,,0.002768,-0.006507
193207,6.10,0.6333,0.4933,1.6125440713,0.0022,0.0526,0.1079,0.0320,-0.0291752482,0.0001833333,0.0000000000,0.0481,0.0043,0.0201105785,,0.391838,0.390006
193208,8.39,0.6067,0.4767,1.1878075451,0.0014,0.0491,0.0822,0.0321,-0.0150616983,0.0001166667,-0.0073529412,0.0003,0.0436,0.0400193059,,0.401979,0.394164
193209,8.08,0.5800,0.4600,1.2143655674,0.0003,0.0470,0.0761,0.0319,0.0007058863,0.0000250000,-0.0074074074,0.0057,0.0301,0.0432985662,,-0.029526,-0.034118
193210,6.96,0.5533,0.4433,1.4038772213,0.0001,0.0464,0.0787,0.0322,-0.0028720914,0.0000083333,-0.0074626866,-0.0017,0.0074,0.0356447585,,-0.142069,-0.143263
193211,6.55,0.5267,0.4267,1.5421472937,0.0001,0.0463,0.0824,0.0322,-0.0033205439,0.0000083333,-0.0075187970,0.0032,0.0073,0.0233166031,,-0.052228,-0.058702
193212,6.89,0.5000,0.4100,1.4420843014,0.0004,0.0459,0.0842,0.0315,-0.0050300240,0.0000333333,-0.0075757576,0.0131,0.0139,0.0102230989,,0.061569,0.053749
193301,6.94,0.4950,0.4125,1.4269293924,0.0007,0.0444,0.0801,0.0308,-0.0064888363,0.0000583333,-0.0152671756,0.0148,0.0547,0.0059166089,,0.013938,0.012575
193302,5.66,0.4900,0.4150,1.6909904651,0.0001,0.0448,0.0837,0.0325,-0.0058155901,0.0000083333,-0.0155038760,-0.0258,-0.0523,0.0156669282,,-0.179558,-0.186035
193303,5.85,0.4850,0.4175,1.4765342960,0.0134,0.0468,0.0891,0.0321,-0.0218818605,0.0011166667,-0.0078740157,0.0097,0.0047,0.0374541110,,0.038627,0.032581
193304,8.32,0.4800,0.4200,1.1190150479,0.0045,0.0478,0.0912,0.0325,-0.0063676672,0.0003750000,0.0000000000,-0.0032,-0.0095,0.0291512255,,0.414312,0.412291
193305,9.64,0.4750,0.4225,0.9283849733,0.0029,0.0463,0.0774,0.0308,-0.0030004874,0.0002416667,0.0000000000,0.0303,0.0588,0.0119638328,,0.174816,0.170167
193306,10.91,0.4700,0.4250,0.8335031588,0.0007,0.0446,0.0707,0.0306,0.0007622358,0.0000583333,0.0079365079,0.0050,0.0190,0.0198193625,,0.137498,0.133994
193307,9.95,0.4650,0.4275,0.9011788036,0.0019,0.0436,0.0662,0.0309,0.0027148950,0.0001583333,0.0314960630,-0.0017,0.0161,0.0328680974,,-0.084736,-0.085471
193308,11.09,0.4600,0.4300,0.7987501221,0.0001,0.0430,0.0677,0.0308,0.0021478487,0.0000083333,0.0076335878,0.0044,0.0093,0.0118789641,,0.123272,0.119807
193309,9.83,0.4550,0.4325,0.8679966044,0.0004,0.0436,0.0727,0.0308,-0.0004572962,0.0000333333,0.0000000000,0.0023,-0.0014,0.0142499091,,-0.118045,-0.121112
193310,8.96,0.4500,0.4350,0.9278584392,0.0009,0.0434,0.0749,0.0315,0.0034639419,0.0000750000,0.0000000000,-0.0091,0.0040,0.0276757704,,-0.090623,-0.091588
193311,9.88,0.4450,0.4375,0.8335031588,0.0022,0.0454,0.0798,0.0327,0.0059244614,0.0001833333,0.0000000000,-0.0149,-0.0248,0.0095815761,,0.108553,0.102070
193312,10.10,0.4400,0.4400,0.8290260464,0.0029,0.0450,0.0775,0.0336,0.0061964828,0.0002416667,0.0000000000,-0.0113,0.0257,0.0055905699,,0.026694,0.024430
193401,11.17,0.4408,0.4442,0.7629173662,0.0072,0.0435,0.0701,0.0321,0.0035590686,0.0006000000,0.0000000000,0.0257,0.0257,0.0066389099,,0.115033,0.113644
193402,10.76,0.4417,0.4483,0.7906437270,0.0062,0.0420,0.0627,0.0317,0.0055960150,0.0005166667,0.0075757576,0.0081,0.0146,0.0055672847,,-0.032840,-0.037272
193403,10.75,0.4425,0.4525,0.8025122121,0.0024,0.0413,0.0626,0.0307,0.0096070745,0.0002000000,0.0000000000,0.0197,0.0187,0.0063725246,,0.005355,0.002464
193404,10.46,0.4433,0.4567,0.8010747338,0.0015,0.0407,0.0601,0.0300,0.0078289903,0.0001250000,0.0000000000,0.0126,0.0104,0.0018991874,,-0.025490,-0.026944
193405,9.61,0.4442,0.4608,0.8563829787,0.0016,0.0401,0.0605,0.0292,0.0076526428,0.0001333333,0.0000000000,0.0131,0.0090,0.0073632004,,-0.078497,-0.082255
193406,9.81,0.4450,0.4650,0.8407310705,0.0015,0.0393,0.0606,0.0289,0.0059823883,0.0001250000,0.0075187970,0.0067,0.0158,0.0068946450,,0.024080,0.021102
193407,8.68,0.4458,0.4692,0.9142532652,0.0015,0.0389,0.0613,0.0288,0.0029098725,0.0001250000,0.0000000000,0.0040,0.0047,0.0115313309,,-0.119846,-0.121723
193408,9.15,0.4467,0.4733,0.8668964032,0.0019,0.0393,0.0649,0.0299,0.0199590429,0.0001583333,0.0000000000,-0.0118,0.0047,0.0065014472,,0.058650,0.051629
193409,9.10,0.4475,0.4775,0.8703643637,0.0021,0.0396,0.0657,0.0310,0.0194406784,0.0001750000,0.0149253731,-0.0146,-0.0061,0.0048308186,,-0.000216,-0.003127
193410,8.81,0.4483,0.4817,0.8622536418,0.0027,0.0390,0.0640,0.0300,0.0238990799,0.0002250000,-0.0073529412,0.0182,0.0102,0.0043581610,,-0.032663,-0.033732
193411,9.54,0.4492,0.4858,0.7820089372,0.0025,0.0386,0.0637,0.0299,0.0207124170,0.0002083333,0.0000000000,0.0037,0.0129,0.0020253052,,0.086059,0.080682
193412,9.50,0.4500,0.4900,0.7737408689,0.0023,0.0381,0.0623,0.0293,0.0208140205,0.0001916667,-0.0074074074,0.0112,0.0101,0.0026089456,,-0.000681,-0.004415
193501,9.10,0.4500,0.5700,0.7916215950,0.0020,0.0377,0.0598,0.0281,0.0209983979,0.0001666667,0.0149253731,0.0182,0.0211,0.0022136038,,-0.042368,-0.043755
193502,8.74,0.4500,0.6500,0.7862863841,0.0019,0.0369,0.0595,0.0275,0.0147099585,0.0001583333,0.0073529412,0.0092,0.0141,0.0032799819,,-0.036840,-0.042660
193503,8.47,0.4500,0.7300,0.8007541179,0.0015,0.0367,0.0620,0.0274,0.0120474614,0.0001250000,0.0000000000,0.0041,0.0043,0.0039728617,,-0.031454,-0.035324
193504,9.28,0.4467,0.7567,0.7373229785,0.0015,0.0366,0.0613,0.0269,0.0190954580,0.0001250000,0.0072992701,0.0079,0.0112,0.0031621685,,0.096493,0.095347
193505,9.58,0.4433,0.7833,0.7293926247,0.0015,0.0365,0.0594,0.0276,0.0192993403,0.0001250000,0.0000000000,-0.0057,0.0042,0.0028776617,,0.038135,0.033059
193506,10.23,0.4400,0.8100,0.6818181818,0.0015,0.0361,0.0577,0.0270,0.0193454754,0.0001250000,-0.0072463768,0.0092,0.0112,0.0028104575,,0.070533,0.067124
193507,11.08,0.4400,0.7933,0.6393091975,0.0015,0.0356,0.0567,0.0268,0.0174092171,0.0001250000,0.0000000000,0.0046,0.0111,0.0016800484,,0.083814,0.082471
193508,11.32,0.4400,0.7767,0.6336866902,0.0016,0.0360,0.0558,0.0281,0.0049803570,0.0001333333,0.0000000000,-0.0133,-0.0042,0.0037749859,,0.026569,0.022105
193509,11.59,0.4400,0.7600,0.6117343845,0.0020,0.0359,0.0553,0.0282,0.0080257423,0.0001666667,0.0000000000,0.0009,0.0000,0.0024288238,,0.025526,0.022175
193510,12.46,0.4500,0.7600,0.5775010734,0.0020,0.0352,0.0554,0.0279,0.0029501319,0.0001666667,0.0000000000,0.0061,0.0042,0.0032591933,,0.071803,0.070634
193511,12.95,0.4600,0.7600,0.5669523676,0.0016,0.0347,0.0543,0.0280,0.0022187729,0.0001333333,0.0072992701,0.0010,0.0069,0.0031496826,,0.051943,0.045620
193512,13.43,0.4700,0.7600,0.5599111913,0.0015,0.0344,0.0530,0.0276,0.0086878751,0.0001250000,0.0000000000,0.0070,0.0083,0.0028973664,,0.039887,0.036744
193601,14.31,0.4800,0.7700,0.5398354405,0.0020,0.0337,0.0500,0.0285,0.0089074325,0.0001666667,0.0000000000,0.0055,0.0082,0.0018671591,,0.071832,0.070187
193602,14.55,0.4900,0.7800,0.5290762473,0.0020,0.0332,0.0480,0.0281,0.0137594586,0.0001666667,0.0000000000,0.0081,0.0054,0.0022225935,,0.022461,0.018857
193603,14.92,0.5000,0.7900,0.5276960471,0.0020,0.0329,0.0486,0.0275,0.0134548437,0.0001666667,-0.0072463768,0.0106,0.0082,0.0050044798,,0.024029,0.021457
193604,13.77,0.5167,0.8200,0.5663485961,0.0020,0.0329,0.0491,0.0274,0.0192511484,0.0001666667,0.0000000000,0.0035,0.0026,0.0057607721,,-0.077588,-0.078356
193605,14.40,0.5333,0.8500,0.5404874214,0.0020,0.0327,0.0494,0.0273,0.0186265958,0.0001666667,0.0000000000,0.0040,0.0040,0.0029079379,,0.053106,0.046971
193606,14.84,0.5500,0.8800,0.5231783880,0.0020,0.0324,0.0490,0.0273,0.0208126900,0.0001666667,0.0072992701,0.0021,0.0082,0.0015684951,,0.032542,0.029509
193607,15.85,0.5700,0.9000,0.5004246027,0.0015,0.0323,0.0484,0.0271,0.0217464087,0.0001250000,0.0072463768,0.0060,0.0011,0.0015685530,,0.073442,0.072356
193608,15.99,0.5900,0.9200,0.4961212340,0.0020,0.0321,0.0474,0.0264,0.0196657771,0.0001666667,0.0071942446,0.0111,0.0067,0.0026195074,,0.014124,0.008930
193609,16.01,0.6100,0.9400,0.4915981409,0.0016,0.0318,0.0462,0.0268,0.0213976254,0.0001333333,0.0000000000,-0.0031,0.0067,0.0011837587,,0.004817,0.001617
193610,17.21,0.6467,0.9667,0.4657070279,0.0013,0.0318,0.0454,0.0269,0.0218036147,0.0001083333,0.0000000000,0.0006,0.0025,0.0022244051,,0.076281,0.075272
193611,17.28,0.6833,0.9933,0.4502783539,0.0011,0.0315,0.0452,0.0257,0.0228406323,0.0000916667,0.0000000000,0.0205,0.0109,0.0028304004,,0.010666,-0.000321
193612,17.18,0.7200,1.0200,0.4585881045,0.0012,0.0310,0.0453,0.0255,0.0252252084,0.0001000000,0.0000000000,0.0038,0.0010,0.0014983745,,-0.003830,-0.007289
193701,17.83,0.7300,1.0500,0.4465735628,0.0017,0.0310,0.0449,0.0258,0.0250033164,0.0001416667,0.0071428571,-0.0013,0.0024,0.0015725492,,0.036648,0.035916
193702,18.09,0.7400,1.0800,0.4407757653,0.0015,0.0322,0.0453,0.0253,0.0252078923,0.0001250000,0.0000000000,0.0086,-0.0046,0.0013067889,,0.018483,0.015350
193703,17.92,0.7500,1.1100,0.4586663806,0.0038,0.0332,0.0468,0.0285,0.0335077887,0.0003166667,0.0070921986,-0.0411,-0.0114,0.0031144795,,-0.003511,-0.006242
193704,16.43,0.7800,1.1300,0.4906180065,0.0056,0.0342,0.0484,0.0284,0.0281081347,0.0004666667,0.0070422535,0.0039,0.0068,0.0054667794,,-0.080646,-0.081490
193705,16.26,0.8100,1.1500,0.4893824051,0.0041,0.0333,0.0484,0.0282,0.0282782055,0.0003416667,0.0069930070,0.0053,0.0040,0.0035930723,0.0033983845,-0.005699,-0.011686
193706,15.40,0.8400,1.1700,0.5049610206,0.0036,0.0328,0.0493,0.0285,0.0312660603,0.0003000000,0.0000000000,-0.0018,0.0053,0.0029841706,0.0042059432,-0.053803,-0.057853
193707,16.98,0.8167,1.1867,0.4646486604,0.0028,0.0325,0.0491,0.0277,0.0272244564,0.0002333333,0.0069444444,0.0138,0.0039,0.0029822171,0.0036298634,0.098991,0.098012
193708,16.04,0.7933,1.2033,0.4819345020,0.0029,0.0324,0.0492,0.0286,0.0310638046,0.0002416667,0.0000000000,-0.0104,-0.0017,0.0021407944,0.0033254414,-0.051183,-0.056291
193709,13.76,0.7700,1.2200,0.5531474413,0.0031,0.0328,0.0516,0.0284,0.0358460833,0.0002583333,0.0068965517,0.0045,0.0025,0.0158211464,0.0033385337,-0.139610,-0.143683
193710,12.36,0.7800,1.1900,0.6174176776,0.0020,0.0327,0.0552,0.0283,0.0409568815,0.0001666667,0.0000000000,0.0042,0.0067,0.0317222407,0.0036049556,-0.102722,-0.103703
193711,11.11,0.7900,1.1600,0.6924198251,0.0009,0.0324,0.0582,0.0278,0.0420308810,0.0000750000,-0.0068493151,0.0096,0.0067,0.0219733915,0.0027108586,-0.084289,-0.100254
193712,10.55,0.8000,1.1300,0.7074886223,0.0011,0.0321,0.0573,0.0273,0.0317747130,0.0000916667,-0.0068965517,0.0082,0.0067,0.0069549625,0.0028331217,-0.045828,-0.053019
193801,10.69,0.7933,1.0767,0.7015672438,0.0010,0.0317,0.0589,0.0271,0.0388013586,0.0000833333,-0.0138888889,0.0057,0.0038,0.0097512413,0.0027731382,0.012163,0.011096
193802,11.34,0.7867,1.0233,0.6595186671,0.0008,0.0320,0.0597,0.0268,0.0322477872,0.0000666667,-0.0070422535,0.0052,0.0010,0.0077724907,0.0021290310,0.065757,0.061131
193803,8.50,0.7800,0.9700,0.8923698838,0.0008,0.0322,0.0630,0.0273,0.0338445705,0.0000666667,0.0000000000,-0.0037,-0.0087,0.0150679420,0.0029648264,-0.254106,-0.257951
193804,9.70,0.7667,0.9033,0.7907934802,0.0009,0.0330,0.0647,0.0259,0.0271613249,0.0000750000,0.0070921986,0.0210,0.0138,0.0188927247,0.0041609632,0.142667,0.140966
193805,9.27,0.7533,0.8367,0.8195656209,0.0005,0.0322,0.0606,0.0257,0.0299781507,0.0000416667,-0.0070422535,0.0044,0.0010,0.0076514340,0.0052741344,-0.039973,-0.046036
193806,11.56,0.7400,0.7700,0.6595458620,0.0005,0.0326,0.0625,0.0259,0.0167455832,0.0000416667,0.0000000000,0.0004,0.0095,0.0118093088,0.0060859031,0.253519,0.249304
193807,12.40,0.7133,0.7200,0.6253541076,0.0007,0.0322,0.0563,0.0257,0.0170568722,0.0000583333,0.0000000000,0.0043,0.0066,0.0068298756,0.0056852727,0.074738,0.073872
193808,12.06,0.6867,0.6700,0.6340202484,0.0006,0.0318,0.0549,0.0259,0.0143096769,0.0000500000,0.0000000000,0.0000,-0.0019,0.0059815684,0.0053420437,-0.025901,-0.029465
193809,12.24,0.6600,0.6200,0.6242488512,0.0008,0.0321,0.0565,0.0259,0.0118979701,0.0000666667,0.0000000000,0.0022,0.0109,0.0170467064,0.0061280147,0.016932,0.013867
193810,13.17,0.6100,0.6267,0.5819547881,0.0005,0.0315,0.0536,0.0254,0.0079347651,0.0000416667,-0.0070921986,0.0087,0.0080,0.0044044304,0.0056028459,0.078960,0.078200
193811,12.73,0.5600,0.6333,0.5893739154,0.0004,0.0310,0.0523,0.0257,0.0085356505,0.0000333333,0.0000000000,-0.0022,0.0037,0.0046441678,0.0051181861,-0.026207,-0.032784
193812,13.21,0.5100,0.6400,0.5720393884,0.0003,0.0308,0.0527,0.0252,0.0057222001,0.0000250000,0.0000000000,0.0080,0.0122,0.0022909395,0.0041669638,0.044810,0.041538
